Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,595112103,MU ,"12,688,421","638,735,113.14",0.498,Micron Technology Inc,Common Stock,Information Technology,10/30/2020
QQQ,92532F100,VRTX ,"2,974,824","619,834,328.64",0.483,Vertex Pharmaceuticals Inc,Common Stock,Health Care,10/30/2020
QQQ,038222105,AMAT ,"10,430,347","617,789,452.81",0.482,Applied Materials Inc,Common Stock,Information Technology,10/30/2020
QQQ,052769106,ADSK ,"2,503,164","589,595,248.56",0.460,Autodesk Inc,Common Stock,Information Technology,10/30/2020
QQQ,512807108,LRCX ,"1,663,009","568,882,118.72",0.444,Lam Research Corp,Common Stock,Information Technology,10/30/2020
QQQ,032654105,ADI ,"4,216,008","499,723,428.24",0.390,Analog Devices Inc,Common Stock,Information Technology,10/30/2020
QQQ,452327109,ILMN ,"1,667,442","488,060,273.40",0.381,Illumina Inc,Common Stock,Health Care,10/30/2020
QQQ,61174X109,MNST ,"6,023,360","461,208,675.20",0.360,Monster Beverage Corp,Common Stock,Consumer Staples,10/30/2020
QQQ,09062X103,BIIB ,"1,807,991","455,740,291.37",0.355,Biogen Inc,Common Stock,Health Care,10/30/2020
QQQ,550021109,LULU ,"1,419,789","453,324,429.81",0.353,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,10/30/2020
QQQ,30161N101,EXC ,"11,129,597","443,959,624.33",0.346,Exelon Corp,Common Stock,Utilities,10/30/2020
QQQ,192446102,CTSH ,"6,192,824","442,291,490.08",0.345,Cognizant Technology Solutions Corp,Common Stock,Information Technology,10/30/2020
QQQ,49271V100,KDP ,"16,071,183","432,314,822.70",0.337,Keurig Dr Pepper Inc,Common Stock,Consumer Staples,10/30/2020
QQQ,N6596X109,NXPI ,"3,188,868","430,879,844.16",0.336,NXP Semiconductors NV,Common Stock,Information Technology,10/30/2020
QQQ,256163106,DOCU ,"2,113,003","427,354,856.75",0.333,DocuSign Inc,Common Stock,Information Technology,10/30/2020
QQQ,056752108,BIDU ,"3,211,454","427,283,954.70",0.333,Baidu Inc ADR,American Depository Receipt,Communication Services,10/30/2020
QQQ,500754106,KHC ,"13,962,664","427,117,891.76",0.333,Kraft Heinz Co/The,Common Stock,Consumer Staples,10/30/2020
QQQ,98138H101,WDAY ,"2,021,541","424,766,194.92",0.331,Workday Inc,Common Stock,Information Technology,10/30/2020
QQQ,98389B100,XEL ,"5,999,743","420,162,002.29",0.328,Xcel Energy Inc,Common Stock,Utilities,10/30/2020
QQQ,45168D104,IDXX ,"971,378","412,660,801.96",0.322,IDEXX Laboratories Inc,Common Stock,Health Care,10/30/2020
QQQ,285512109,EA ,"3,298,355","395,241,879.65",0.308,Electronic Arts Inc,Common Stock,Communication Services,10/30/2020
QQQ,016255101,ALGN ,"899,958","383,454,104.64",0.299,Align Technology Inc,Common Stock,Health Care,10/30/2020
