Date,Open,High,Low,Close,Adj Close,Volume
2020-04-24,2.140000,2.250000,2.000000,2.050000,2.050000,2192700
2020-04-27,2.120000,2.190000,1.920000,2.120000,2.120000,2807600
2020-04-28,2.180000,2.590000,2.170000,2.580000,2.580000,4962900
2020-04-29,2.390000,2.900000,2.200000,2.890000,2.890000,6578700
2020-04-30,3.000000,3.400000,2.620000,3.220000,3.220000,5048500
2020-05-01,3.080000,3.190000,2.660000,2.820000,2.820000,3941000
2020-05-04,2.780000,2.980000,2.550000,2.960000,2.960000,2890900
2020-05-05,3.120000,3.270000,2.870000,2.900000,2.900000,2945400
2020-05-06,2.900000,3.000000,2.680000,2.700000,2.700000,2134600
2020-05-07,2.780000,2.850000,2.560000,2.680000,2.680000,2375400
2020-05-08,2.830000,2.920000,2.610000,2.900000,2.900000,2486900
2020-05-11,2.880000,2.940000,2.700000,2.830000,2.830000,1582800
2020-05-12,2.840000,2.910000,2.730000,2.740000,2.740000,1456800
2020-05-13,2.760000,2.760000,2.510000,2.580000,2.580000,1765800
2020-05-14,2.530000,2.630000,2.320000,2.630000,2.630000,1933900
2020-05-15,2.630000,2.650000,2.520000,2.570000,2.570000,1200800
2020-05-18,2.680000,2.850000,2.670000,2.790000,2.790000,1786700
2020-05-19,2.800000,2.890000,2.690000,2.730000,2.730000,1478800
2020-05-20,2.790000,3.030000,2.750000,2.910000,2.910000,1919200
2020-05-21,2.900000,3.100000,2.860000,3.020000,3.020000,1588700
2020-05-22,3.040000,3.080000,2.930000,3.030000,3.030000,999600
2020-05-26,3.280000,3.990000,3.280000,3.840000,3.840000,6073400
2020-05-27,3.910000,4.040000,3.450000,3.790000,3.790000,3107000
2020-05-28,3.860000,3.860000,3.300000,3.340000,3.340000,1969500
2020-05-29,3.350000,3.460000,3.180000,3.230000,3.230000,2379100
2020-06-01,3.260000,3.510000,3.180000,3.260000,3.260000,2142100
2020-06-02,3.380000,3.780000,3.290000,3.730000,3.730000,3784800
2020-06-03,3.850000,4.030000,3.820000,3.870000,3.870000,3037900
2020-06-04,3.920000,5.080000,3.900000,4.960000,4.960000,6725300
2020-06-05,5.410000,6.940000,5.300000,6.490000,6.490000,11176000
2020-06-08,6.650000,7.980000,6.650000,7.900000,7.900000,8296200
2020-06-09,7.370000,7.600000,6.100000,6.130000,6.130000,5641400
2020-06-10,6.280000,6.490000,5.140000,5.210000,5.210000,5071800
2020-06-11,4.370000,4.640000,4.000000,4.000000,4.000000,6015800
2020-06-12,4.400000,4.890000,4.330000,4.800000,4.800000,5020700
2020-06-15,4.350000,4.830000,4.250000,4.720000,4.720000,2822600
2020-06-16,5.450000,5.570000,4.850000,5.360000,5.360000,4072400
2020-06-17,5.350000,5.350000,4.820000,5.040000,5.040000,2791500
2020-06-18,4.810000,5.180000,4.800000,4.890000,4.890000,2496400
2020-06-19,5.060000,5.080000,4.780000,4.910000,4.910000,3664400
2020-06-22,4.830000,4.830000,4.450000,4.570000,4.570000,2456200
2020-06-23,4.630000,5.100000,4.600000,4.930000,4.930000,2667800
2020-06-24,4.740000,4.870000,4.420000,4.560000,4.560000,2831100
2020-06-25,4.430000,4.580000,4.350000,4.490000,4.490000,2332100
2020-06-26,4.410000,4.470000,4.070000,4.290000,4.290000,2865700
2020-06-29,4.160000,4.700000,4.130000,4.700000,4.700000,2854900
2020-06-30,4.710000,4.870000,4.590000,4.750000,4.750000,2463800
2020-07-01,4.760000,5.700000,4.760000,5.580000,5.580000,5701900
2020-07-02,5.790000,5.970000,5.300000,5.590000,5.590000,2791700
2020-07-06,5.740000,5.960000,5.580000,5.870000,5.870000,2806600
2020-07-07,5.730000,6.370000,5.610000,6.230000,6.230000,3880600
2020-07-08,6.230000,6.670000,6.080000,6.620000,6.620000,2245000
2020-07-09,6.640000,6.660000,6.050000,6.200000,6.200000,2998800
2020-07-10,6.090000,7.380000,6.060000,7.060000,7.060000,5172300
2020-07-13,7.060000,7.150000,6.760000,6.770000,6.770000,2589300
2020-07-14,6.720000,7.580000,6.350000,7.270000,7.270000,4056000
2020-07-15,7.630000,7.780000,7.150000,7.540000,7.540000,1936300
2020-07-16,7.450000,7.950000,7.280000,7.780000,7.780000,2724300
2020-07-17,7.790000,7.860000,7.200000,7.450000,7.450000,2468200
2020-07-20,7.360000,7.430000,6.880000,7.200000,7.200000,1939400
2020-07-21,7.290000,7.920000,7.270000,7.900000,7.900000,4698700
2020-07-22,7.850000,8.400000,7.670000,7.810000,7.810000,4543900
2020-07-23,7.780000,9.660000,7.560000,9.060000,9.060000,11327200
2020-07-24,8.820000,9.200000,8.740000,9.110000,9.110000,3046500
2020-07-27,9.120000,10.120000,8.970000,9.320000,9.320000,3886700
2020-07-28,9.200000,9.730000,9.200000,9.630000,9.630000,2434500
2020-07-29,13.000000,16.410000,12.950000,16.150000,16.150000,42650600
2020-07-30,14.950000,15.890000,14.510000,15.520000,15.520000,6140900
2020-07-31,15.350000,16.129999,15.220000,15.430000,15.430000,3318600
2020-08-03,15.260000,15.280000,12.430000,13.090000,13.090000,6619000
2020-08-04,13.070000,13.870000,13.050000,13.520000,13.520000,1585500
2020-08-05,13.770000,15.560000,13.600000,15.320000,15.320000,4882700
2020-08-06,15.100000,15.270000,14.810000,15.140000,15.140000,1734700
2020-08-07,14.880000,15.260000,14.620000,14.980000,14.980000,1245300
2020-08-10,14.980000,15.200000,13.820000,13.940000,13.940000,1586100
2020-08-11,14.150000,14.650000,13.740000,13.770000,13.770000,1261200
2020-08-12,13.860000,14.320000,13.630000,14.220000,14.220000,1093800
2020-08-13,14.040000,14.110000,13.230000,13.660000,13.660000,1247900
2020-08-14,13.520000,14.170000,13.350000,13.800000,13.800000,1331700
2020-08-17,14.010000,14.950000,13.860000,14.180000,14.180000,1482200
2020-08-18,14.230000,14.520000,14.000000,14.160000,14.160000,834700
2020-08-19,14.070000,14.830000,14.050000,14.510000,14.510000,1291600
2020-08-20,14.360000,14.560000,13.620000,13.960000,13.960000,1219100
2020-08-21,13.890000,14.020000,13.680000,13.930000,13.930000,821300
2020-08-24,13.950000,14.670000,13.900000,14.210000,14.210000,975600
2020-08-25,14.280000,14.540000,13.580000,14.120000,14.120000,933500
2020-08-26,14.250000,14.490000,13.620000,13.830000,13.830000,1007800
2020-08-27,13.790000,15.170000,13.790000,14.480000,14.480000,2646100
2020-08-28,14.510000,14.950000,14.250000,14.910000,14.910000,1066000
2020-08-31,15.000000,16.389999,14.720000,16.290001,16.290001,3065900
2020-09-01,16.129999,18.059999,15.400000,17.990000,17.990000,3933500
2020-09-02,17.969999,20.620001,17.580000,20.620001,20.620001,4721700
2020-09-03,20.420000,21.320000,19.410000,20.700001,20.700001,3554500
2020-09-04,20.930000,21.389999,19.610001,20.980000,20.980000,2037200
2020-09-08,20.340000,21.670000,19.770000,20.959999,20.959999,2313900
2020-09-09,21.139999,22.500000,20.690001,22.190001,22.190001,2156900
2020-09-10,22.520000,24.260000,22.110001,24.260000,24.260000,3260200
2020-09-11,24.389999,24.540001,22.500000,23.400000,23.400000,3047000
2020-09-14,23.709999,24.139999,22.820000,23.879999,23.879999,2149900
2020-09-15,24.770000,26.969999,24.490000,26.410000,26.410000,3289600
2020-09-16,26.500000,26.870001,25.580000,26.290001,26.290001,1937500
2020-09-17,25.750000,26.639999,25.549999,26.549999,26.549999,1490600
2020-09-18,26.700001,26.830000,25.760000,26.320000,26.320000,2225400
2020-09-21,25.520000,25.809999,24.010000,25.610001,25.610001,1592800
2020-09-22,25.830000,27.190001,25.820000,26.750000,26.750000,1398400
2020-09-23,26.830000,26.830000,24.520000,24.690001,24.690001,1383200
2020-09-24,24.270000,24.840000,23.379999,23.700001,23.700001,1138200
2020-09-25,23.770000,24.000000,22.639999,22.650000,22.650000,1128300
2020-09-28,23.150000,23.260000,20.750000,21.260000,21.260000,2546200
2020-09-29,21.420000,21.879999,19.440001,20.110001,20.110001,1950100
2020-09-30,20.000000,21.250000,19.850000,20.160000,20.160000,1898600
2020-10-01,20.270000,21.410000,19.600000,21.190001,21.190001,1855300
2020-10-02,20.059999,21.330000,19.770000,21.049999,21.049999,1324900
2020-10-05,21.540001,22.350000,19.969999,21.370001,21.370001,3302600
2020-10-06,21.680000,22.930000,21.129999,21.590000,21.590000,1899500
2020-10-07,22.260000,23.830000,22.250000,23.510000,23.510000,1282700
2020-10-08,24.000000,24.350000,22.559999,22.730000,22.730000,924800
2020-10-09,22.760000,23.459999,22.120001,22.170000,22.170000,965400
2020-10-12,22.219999,22.670000,21.299999,21.830000,21.830000,1064700
2020-10-13,21.680000,22.110001,20.850000,21.590000,21.590000,965200
2020-10-14,21.799999,23.030001,21.520000,21.809999,21.809999,1378300
2020-10-15,21.389999,22.889999,20.910000,22.580000,22.580000,1019500
2020-10-16,22.670000,22.879999,21.850000,22.120001,22.120001,913100
2020-10-19,22.280001,24.670000,20.700001,21.049999,21.049999,3141900
2020-10-20,21.350000,21.750000,20.510000,20.700001,20.700001,898700
2020-10-21,20.780001,20.780001,20.030001,20.420000,20.420000,751600
2020-10-22,20.360001,22.090000,20.360001,21.809999,21.809999,1730000
2020-10-23,21.930000,22.730000,21.780001,22.480000,22.480000,821900
2020-10-26,22.020000,23.059999,21.690001,22.129999,22.129999,1062900
2020-10-27,22.260000,22.320000,21.240000,21.320000,21.320000,1226900
2020-10-28,27.129999,30.190001,26.240000,28.799999,28.799999,24090400
2020-10-29,29.430000,34.090000,29.110001,32.049999,32.049999,9041900
2020-10-30,31.830000,34.410000,31.500000,31.719999,31.719999,4733500
